"Sample","Site.number","pg.2C","SD","Location","Latitude","Longitude"
"NC09008","NC0901",42.32,0.419,"S of Aberdeen by Hoke Co. Line",35.072917,-79.430028
"NC09011","NC0901",37.53,0.76,"S of Aberdeen by Hoke Co. Line",35.072917,-79.430028
"NC09012","NC0901",45.03,1.193,"S of Aberdeen by Hoke Co. Line",35.072917,-79.430028
"NC09026","NC0903",40.8,0.755,"between Rex and Rennet",34.849833,-79.065778
"NC09028","NC0903",40.64,0.379,"between Rex and Rennet",34.849833,-79.065778
"NC09033","NC0904",47.87,0.394,"near Old Hundred off HW74",34.807556,-79.587944
"NC09034","NC0904",46.12,0.595,"near Old Hundred off HW74",34.807556,-79.587944
"SC09036","SC0905",46.4,0.268,"off HW1 between Patrick and McBee",34.529611,-80.151556
"SC09037","SC0905",36.53,0.45,"off HW1 between Patrick and McBee",34.529611,-80.151556
"SC09039","SC0906",39.15,0.868,"off HW102 2 mi S Patrick",34.546806,-80.037083
"SC09057","SC0906",40.58,0.498,"off HW102 2 mi S Patrick",34.546806,-80.037083
"NC09061","NC0903",47.22,0.173,"between Rex and Rennet",34.849833,-79.065778
